,comment,star,date,,상품링크
39,큰거 알고샀지만 생각보다 좀 더 크네여 그래도 커플로 입으려고 구매했어용,5,22.07.08.,,
40,큰거 알고샀지만 생각보다 좀 더 크네여 그래도 커플로 입으려고 구매했어용,5,22.07.08.,,
41,"박시하게 입고 싶어서 일부러 큰거 샀는데
딱 생각했던 이쁜 핏으로 왔어요 ㅎㅎ",5,22.07.12.,,
42,배가 나왔는데 편안하게 사이즈 딱 좋아요,5,22.07.13.,,
43,핏이 딱 적당해요. 기장감이 긴 옷을 좋아하는데 길이도 엉덩이 중앙까지 오고 좋습니다,5,22.06.30.,,
44,배나왔는데 편안하게 사이즈 딱 좋아요,5,22.07.13.,,
45,"남자친구랑 커플로 샀는데 너무 만족합니당
두벌 더 사려구요 ㅎㅎ",5,22.07.11.,,
46,빠른배송 너무좋아요... 가성비 좋아요~~**^,5,22.07.11.,,
47,가성비좋은상품 입니다,5,22.07.16.,,
48,가성비좋은상품 입니다,5,22.07.16.,,
49,가격이 아주 맘에 드네요,5,22.07.15.,,
50,"77사이즈 m으로 사니 넉넉하니 딱 이뻐요
xl도 나름 오버핏으로 이뻐서 또 샀어요",5,22.07.07.,,
51,두번세탁하니 보풀이ㅠㅠ티는 이쁘네요 얇아서 시원합니다,5,22.07.05.,,
52,커플티로 샀는데 이뻐요,5,22.07.15.,,
53,168cm이고 평소 55사이즈 입는데 잘 맞아요. 배송도 빠릅니다.,5,22.07.10.,,
54,옷감도 좋고 여름에 편하게입을수있어요,5,22.07.12.,,
55,여자친구랑 같이 맞췄는데 편하고 예뻐서 좋아요,5,22.07.11.,,
56,"소재나 마감 좋아요
워낙 좋아하고 즐겨입는 브랜드라 ~~~
구매 잘 했다는 생각합니다~~~~",5,22.07.02.,,
57,"소재나 마감 좋아요
워낙 좋아하고 즐겨입는 브랜드라 ~~~
구매 잘 했다는 생각합니다~~~~",5,22.07.02.,,
58,넘 예뻐용 남동생 선물해줬는데 사이즈 미스 없이 잘 주문한 거 같아서 기분 너무 좋고 배송도 생각보다 빨리와서 좋습니다 물론 상태도 너무 깔끔해서 대 만 족 !,5,22.06.20.,,
59,배송도 빠르게 잘 받았어요ㅡ블랙 화이트 각각 ㄱㄷㆍ매.!그런데 블랙은 마치 옷걸이에 걸어둔것처럼 되서 펴지지가 않네요ㅜ귀찮아서 그냥 입어요ㅜ,3,22.06.28.,,
60,우와 왤케 이뻐요? 배송도 무지.빠르고 다른색도 사고 싶어여 남편은 라운드 저는 브이넥 사니.딱 조아요,5,22.06.27.,,
61,부드럽고 색상도 정말 맘에들어요,5,22.07.13.,,
62,색상도이쁘고 핏도괜찮아요,4,22.07.10.,,
63,색감도이쁘고 핏도괜찮네요,4,22.07.10.,,
64,커플룩으로 구매했는데 만족해용,5,22.07.12.,,
65,여자친구는 만족하네요 ㅎㅎ,5,22.07.15.,,
66,사이즈 품질  좋아요 감사합니다,5,22.07.07.,,
67,"아들에게 선물했는데 핏고 좋고 넘 이쁘네요
저렴한 가격에 잘 구입했습니다
재구매 의향 있습니다
감사합니다",5,22.06.19.,,
68,좀 크지만 오버핏으로 입으라고 했네요,4,22.07.14.,,
69,만족합니다 배송빨라요,5,22.07.14.,,
70,"배송 빨라서 좋아요!
옷 재질도 부드러워서 입었을때 편하고 좋아요",5,22.06.25.,,
71,좋아요~잘입고있어요~~~,5,22.07.13.,,
72,평소 55인데 s사이즈 딱좋습니다 널널하니~~,5,22.07.12.,,
73,입기편한 사이즈에 옷감 재질도 부드러워서 좋아보이고 두께도 적당해서 좋네요,5,22.07.05.,,
74,배송빠르고 품질좋아용,5,22.07.13.,,
75,편해서 아무때나 입기 좋아요.,4,22.07.12.,,
76,빠르게 발송해주셔서 만족합니다!편하게 입으려고 M주문했는데 생각보다는 좀 크네요!담에는 S싸이즈로 구매하려고합니다~잘 입을게요!,4,22.06.21.,,
77,가격이 아주 많이 드네요,5,22.07.15.,,
