,comment,star,date,,상품 링크
25,"154 44-45키로입니다
체구작으신분은 보이M사이즈  잘맞으실거에요",5,22.07.15.,,
26,담에 또 살래요 색이 더 다양했음~,5,22.07.10.,,
27,저렴한 가격에 살수있어서 좋앗어요 ~~,5,22.07.14.,,
28,키 158 사이즈 55반 보이즈 L 넉넉하고 걸즈 XL딱 맞아요 팔은 짧아도 겨드랑이까진 안보임 잘입을께요!  배송은 일주일소요,5,22.07.03.,,
29,170 58키로인데 라지 적당합니다 엑스라지랑 고민 정말많이했는데 라지사길 너무 잘한거같아요 저랑 비슷하신분 라지사세요~~ 핏도 예쁘고 너무 맘에듭니장!!,5,22.06.23.,,
30,~~선물용 제꺼 하나씩 샀어요 만족합니다,5,22.07.13.,,
31,배송 너무 빠르네요 색깔도 정말 예쁩니다~^^,5,22.07.08.,,
32,질도 괜찮고 넘 맘에 들어요 감사해여,5,22.07.12.,,
33,예쁜 회색이라서 여름에 더워 보이지 않아요,5,22.07.14.,,
34,"생각보다 작네요
목늘어짐이 걱정되긴한데
깔끔해요",3,22.07.10.,,
35,164센티미터의키에  46킬로그램 몸무게~~~~보이즈m 딱 원하던핏이에요   첫구매때 흰색없어서 네이비 그레이샀는데 금방 들어오길래 흰색으로 하나더샀어요. 저는 성인여자핏보다 보이즈핏이 더좋아요,5,22.06.22.,,
36,키 158 사이즈 55반 보이즈 L 넉넉하고 걸즈 XL딱 맞아요 팔은 짧아도 겨드랑이까진 안보임 잘입을께요!,5,22.07.03.,,
37,"색상 너무 예쁘고
사이즈도 딱 좋아요!! 다른 컬러도 구매하고 싶어요!!",5,22.07.04.,,
38,면 질도 좋고 색이 이뻐요 ㅎㅎ 다른 색도 추가로 사고싶어요^^ 아무 바지에도 잘 어울려요 ㅎ,5,22.07.14.,,
39,사이즈도 정사이즈고 좋아요~ 옷이 너무 이쁩니다!!! 두번 사세여~ 해외배송인데도 엄청 빨리 왓어요!! 완전 굿굿,5,22.06.22.,,
40,"색이 참 이뻐요 
사이즈 L도 성인여성 55-66 괜찮아요",5,22.06.30.,,
41,사이즈가생각보다마니커요 어깨가맞게다시라지로재구매하려구요 옷은 너무예쁘고구김도안지고깨끗합니다,5,22.06.22.,,
42,"166/54 28주 임산부 
라지 엑스라지 다 주문해봤는데
라지는 배 윤곽이 좀 드러나도
전체적으로 핏되는게 예뻐요

엑스라지는 딱 큰느낌있어요 
완전 만삭때 입으려고요 

배송빠르고 키즈라고 질이 진짜 별로일거같아ㅛ는데 그냥 좀더 얇은 반팔티에요! 만족만족해요",5,22.06.15.,,
43,사이즈 잘맞고 너무 편하네요,5,22.07.14.,,
44,"166/54 28주 임산부 
라지 엑스라지 다 주문해봤는데
라지는 배 윤곽이 좀 드러나도
전체적으로 핏되는게 예뻐요

엑스라지는 딱 큰느낌있어요 
완전 만삭때 입으려고요 

배송빠르고 키즈라고 질이 진짜 별로일거같아ㅛ는데 그냥 좀더 얇은 반팔티에요! 만족만족해요",5,22.06.15.,,
45,154  44-45 보이m사이즈 추천입니다,5,22.07.15.,,
46,"여자 L, 남자 XL 주문했는데 딱좋은거 같아요!
여자 상의 55반인데 넉넉하게 맞구요
남자 171 68키로 보통 95입는데 아직 입어보진않았는데 맞을거 같아요~ 잘입겠습니당!",5,22.06.24.,,
47,"아주만족
조금크게사서
건조기쓰니 줄어서딱맞아요",5,22.07.06.,,
48,배송 빠르고 정사이즈에요!,5,22.07.14.,,
49,왠만한 국내배송보다 빨리옴. 대딩 딸내미를 위해 구매했고 제가 먼저 입어봤습니다. 키작고 팔뚝굵은 체형입니다. 부들부들 넘 편하고 좋네요. 폴로티가 첨이라 사이즈고민 많이했고 심하게 얇진 않은지 넘 더운 재질은 아닌지 생각을 거듭하고 여기저기 비교해보고 구매했구요.뭣보다 배송이 빠르고 가격이 저렴한게 이 샵의 크나큰 장점이네요. 이제 세탁 잘해서 이쁘게 입히도록 할게요. 감사합니다. 더살걸... ㅎㅎ,5,22.05.26.,,
50,마음에 듭니다 좋아요,5,22.07.08.,,
51,마음에 듭니다 좋아요,5,22.07.08.,,
52,편하고 너무 좋아요ㅔ,5,22.07.14.,,
53,"162/50/상체가 마른편
딱맞게 입는걸 좋아해서인지, 사이즈 딱이었습니다. 근데 잡사인지 뭔지 티가 나게 껴있던데
일단 입고 나가서 반품은 못하는데 
추후 사진첨부해볼게요ㅠㅠ",3,22.07.12.,,
54,너무 예뻐욤 ㅎㅎㅎ,5,22.07.15.,,
55,배송도빠르고 티도 깔끔하고이뻐용,5,22.07.08.,,
