,comment,star,date,,상품 링크
47,"사이즈랑 색깔 마음에 들어요
잘입을게요",4,22.07.01.,,
48,안늘어나고 딱 입기좋은거같아영,5,22.07.05.,,
49,재질도 탄탄하고 맘에 들어요!,5,22.06.15.,,
50,만족합니다 가격대가성비좋아요 ~~~~~~~~,5,22.07.05.,,
51,저한텐좀작아서살좀뺄께여...ㅋㅋ,5,22.06.19.,,
52,넘 이쁘게 만족스럽게 입고있어요 많이 파세요~!~!~~~,5,22.06.14.,,
53,가격대비 가성비 꿀 만족합니다,4,22.07.05.,,
54,여름에 입기 좋은거 같아요,4,22.07.04.,,
55,목부분이상하네요  이상,1,22.07.10.,,
56,"L사이즈인데 작더라구요ㅠㅠ
택을 떼서 반품도 못하고,, 돈만 버렸네요",4,22.06.22.,,
57,남자친구랑 커플티로 샀는데 같이 입으니까 넘 이뻐요,5,22.06.06.,,
58,핏이 예쁘네요 다른 컬러도 구매할가 고민중입니다  맘에 들어요,5,22.06.20.,,
59,"상체는 날씬한편이라 엠싸이즈
 말랏고 완전타이트원하면 에스 사여할듯",4,22.06.06.,,
60,평소에 유니섹스 티셔츠 s 입는 데 L로 사니까 딱 맞음 너무너무 좋아 또 구매할듯,5,22.06.03.,,
61,사이즈 적당해서 무난하게 코디 할 수 있어서 좋네요,5,22.06.25.,,
62,예쁜 티셔츠예요. 검정색티 기본으로 입기 좋고 튼튼해서 더 좋아요,5,22.05.29.,,
63,옷감도 좋고 만족합니다~,5,22.06.07.,,
64,사이즈 적당하고 무난하게 코디 가능해서 좋아요,5,22.06.25.,,
65,"폴로티 너무 잘 샀어요
몸에 딱 맞게 입으려면 M 사이즈가 좋을 것 같아요 목이 꽉 긴다는 리뷰가 있어 걱정했는데 전 못 느꼈어요 상체가 마르신 분들은 M 사이즈 사시면 딱 예쁘게 핏 되실거에요! 다른 컬러도 사고 싶어요 ㅠㅠ",5,22.05.08.,,
66,편하고 핏 좋고 좋습니다,5,22.06.26.,,
67,생각보다 재질좋고 예쁘네용,5,22.06.05.,,
68,배송도 빠르고 넘이뻐요~,5,22.06.28.,,
69,"폴로티 너무 잘 샀어요
몸에 딱 맞게 입으려면 M 사이즈가 좋을 것 같아요 목이 꽉 긴다는 리뷰가 있어 걱정했는데 전 못 느꼈어요 상체가 마르신 분들은 M 사이즈 사시면 딱 예쁘게 핏 되실거에요! 다른 컬러도 사고 싶어요 ㅠㅠ",5,22.05.08.,,
70,174 마른편인데 사이즈가 없어서 M으로했는데 길이랑 폭모두 제가 원했던 사이즈에욥! (딱맞게 입는걸좋아함 ㅠ) 감사합니다~,5,22.06.07.,,
71,"폴로는 역시 깔끔한게 진리
블랙티에 흰색 포니라 포인트 되서 좋고
정품 확실하네요 잘 받았습니다.",5,22.05.19.,,
72,커플티로 제격입니다 ㅎㅎㅎ가격도 저렴해요,5,22.05.25.,,
73,생각보다 크고 얇지만 너무 예뻐요!,5,22.06.04.,,
74,너무 맘에들고요 재질도 얇고시원하며 부드럽고 딸이 맘에든다네요 50킬로딱예쁘게맞아요,5,22.06.04.,,
75,가격대비 좋아요....,5,22.06.26.,,
76,원단이너무좋고 착용감이좋아요,5,22.06.20.,,
77,편하고 완전 좋아요,4,22.06.25.,,
78,딱정사이즈에요 색상도이쁘고 짱짱하니 좋아요,5,22.05.23.,,
79,딱정사이즈에요 색상도이쁘고 짱짱하니 좋아요,5,22.05.23.,,
80,평소에 여성분 44~55까지 입으시는 여성분 딱 맞게 입으시고 싶으면 보이즈 m사이즈 하시면 좋음. 핏 예뻐요^^,5,22.06.06.,,
81,부모님 커플티 ㅎㅎㅎ너무 예뻐요 네이비 색 !,5,22.05.25.,,
82,아주좋습니다^^ 재질도 편안하고 실제사이즈보다 작게나온듯해서 한치수 크게 사도 괜찮을듯합니다,5,22.05.13.,,
83,"상품은 사진과 같은거 같아요
그냥 편하게 입는 면티에요~
근데 목뒤 박음선이 polo로그 글자를 덮고 있는데 원래 그런가요?",4,22.05.09.,,
84,"예전에 인터넷으로 정품이라고하는 폴로반팔을 산적이 있었는데 무슨 시장에서 3장 만원하는 반팔퀄이였거든요.. 그게 짭이라는 게 확실해요 
퀄리티 좋습니다",5,22.05.30.,,
85,너무 편하고 면질이 좋습니다,5,22.06.22.,,
86,좋았어요 색상 디자인 사이즈 고민말고 구입하세요,4,22.06.07.,,
87,안전한 배송 감사합니다,5,22.06.18.,,
88,안전한 배송 감사합니다,5,22.06.18.,,
89,스텐다드하고 깔끔함의 끝판왕,5,22.06.19.,,
90,좋습니다 색도 착용감도,3,22.06.20.,,
91,잘입고다닐것같아요:),4,22.05.31.,,
92,너무 편하고 그냥 데일리로 입기좋은옷,5,22.06.13.,,
93,"면이 부들부들하고 좋아요
사이즈는 라지 했는데 여자55보단 야악간 딱맞아요. 조금 편하게 입고싶은 분들은 XL 하셔야될듯요",5,22.05.09.,,
94,생각만큼 두껍지는 않지만 핏이 적당하니 예뻐요,5,22.05.19.,,
95,약간사이즈는작은디 그래도 흐물거리지않아요,5,22.05.25.,,
96,핏도 좋고 여름 데일리템으로 제격입니다. 코디하기도 편해서 자주 애용해요.,5,22.05.31.,,
97,핏도 좋고 여름 데일리템으로 제격입니다. 코디하기도 편해서 자주 애용해요.,5,22.05.31.,,
98,핏도 좋고 여름 데일리템으로 제격입니다. 코디하기도 편해서 자주 애용해요.,5,22.05.31.,,
99,"사이즈 딱 좋네요
재질도 좋구 만족합니다",5,22.06.09.,,
100,"맘에들어요
생각한거랑 똑같고
질 좋습니당
배송도 금방왔어요~~

남자는 xl
여자l하니까 사이즈도 딱좋았습니다~",5,22.05.02.,,
101,"덩치 큰 남자친구인데 쬐끔 컸어요 
L 사도 됐을 듯요! 면 얇고 시원해서 좋대요 ㅋㅋ",5,22.06.06.,,
102,힝큐 조아 사이즈 딱,5,22.06.15.,,
103,너무 좋아요옹 ㅎㅎ,5,22.06.18.,,
104,배송 빠르게 잘 받았습니다 핏도 좋아요,5,22.06.10.,,
105,커플티로 사서 입고있는데 만족해요,4,22.06.11.,,
106,소재도 부들부들하고 너무 편해요 진짜 다들 꼭 사세요ㅜㅜ,5,22.05.13.,,
107,"커플티로 왕추천입니다
가격대비 왕왕추",4,22.06.06.,,
108,상태 좋고 배송이 빨라서 더 좋았어요 굿,5,22.05.19.,,
109,"완전 맘에듭니다
질도좋고
백화점가서 본거랑 똑같아요~~
좋은가격에 잘샀습니다",5,22.05.02.,,
110,이뻐요 남편한테 선물해줬는데 좋아해요,5,22.06.01.,,
111,깔끔해요 정사이즈예요,5,22.06.08.,,
112,커플티로도 예쁠정도로 괜찮아요,5,22.05.19.,,
113,아주 잘사용 할게요 화이팅입니다,5,22.06.03.,,
114,너무 이뻐서 계속 입어요,5,22.06.13.,,
115,"남편이  아주 마음에 들어해요~
저렴하게 잘 샀어요~",5,22.05.28.,,
116,사이즈좋아요~~깔끔해요,5,22.06.08.,,
117,입고 기다렸다가 바로 샀어요,5,22.06.10.,,
118,부들부들 아주 얇은 면이네요 세탁하면 목 늘어날거같아서 걱정ㅠ 옷은 너무 예쁩니당,5,22.05.04.,,
119,물 빠져요  흑 ~   사진은 두번 행군 상태인데  실제는 사진보다 더 까만물이요,3,22.05.09.,,
120,남자친구랑 커플티 하려고 했는데 배송 받은날 당일 차였어요 ㅎㅎ 저 혼자 두개 입거나 다음 남자친구 주려고요 혼자 쓸쓸히 입어봤눈데 괜찮네요 다음 남자친구는 옷 사이즈 XL 입었으면 좋겠어요,5,22.05.18.,,
121,예뻐요 만족합니당ㅎㅎ,5,22.05.18.,,
122,정말 싸게 잘입고단ㅕ요,5,22.06.14.,,
123,적당하고 잘 맞아요,4,22.06.11.,,
124,"잘 받았어요~
근데 화이트가 아주 화이트가 아닌듯
뭔가 누르스름한....",3,22.05.11.,,
125,진짜 편해요 소재도 부들부들해요!!,5,22.05.13.,,
126,만족합니다 조금 늦은배송,5,22.06.06.,,
127,배송이 빠르고 예뻐요,4,22.05.18.,,
128,배송이 빠르고 예뻐요,4,22.05.18.,,
129,흰색은 다른곳에서 샀는데 여기서 산 검정색이 좀더 재질이랑 사이즈가편하게 잘맞아요! 전 159/45입니당!!,5,22.05.03.,,
130,동생이 아주 좋아합니다 ㅎㅎㅎ,5,22.06.08.,,
131,천의 두께도 괜찮고 사이즈도 적당합니다,4,22.06.04.,,
132,"55반 사이즈인데 판매자님 사이즈 안내보고 라지했더니 딱 맞네요. 미듐했으면 작을 뻔 했어요.
원단, 핏 다 좋아서 편하게 자주 입을 것 같아요~",5,22.04.23.,,
133,빨리와서 좋네요 !!!,5,22.06.12.,,
134,이쁘네요 잘입을께요,5,22.06.08.,,
135,친구 생일선물 주려고 구매했어요 사이즈 고민하다가 보이즈 라지햇는데 잘 맞으면 좋겠네요 !! 배송은 빠르게 왔습니다 ~~,5,22.04.27.,,
136,나쁘지 않아요 다음에 또 구매할 의사가 있습니다.,5,22.05.22.,,
137,너무 잘입었습니다.,5,22.06.05.,,
138,소재도 너무 좋고 정사이즈로 잘 맞았어요!,5,22.05.31.,,
139,재질도 좋도 너무 이뻐요!!,5,22.06.03.,,
140,너무 이뻐요 ㅎㅎㅎ,5,22.06.08.,,
141,"추천 사이즈 가 딱 핏도 이쁘고 원단 부드럽고 조아요. 커플룩으로 구매햇는데 맘에 드네요..
세탁시 늘어남만 없다면 조을듯해요",5,22.04.20.,,
142,55여자입니다 스탠다드핏으로 딱맞네요,5,22.05.13.,,
143,아주 깔끔하고 좋습니다!!!,5,22.06.03.,,
144,신행 때 잘 입었어요,5,22.06.02.,,
145,신행 때 잘 입었어요,5,22.06.02.,,
146,다른 색상으로 부모님 선물 드렸어요,5,22.05.31.,,
147,이뻐요 ㅋㅋ남자친구는 살집이있어서 빼고입는데요,5,22.05.23.,,
